datetime,ghi,temp_air,cloud_cover,cell_temperature,dc_power_kw,ac_power_kw,date
2025-11-12 10:00:00,229.0,19.0,34,24.30924727177757,0.0,38.5739243981611,2025-11-12
2025-11-12 11:00:00,408.0,21.2,1,31.522207332422852,0.0,73.9831035366887,2025-11-12
2025-11-12 12:00:00,551.0,23.4,2,37.07210317425078,0.0,100.0,2025-11-12
2025-11-12 13:00:00,627.0,24.3,12,36.542367435585106,0.0,100.0,2025-11-12
2025-11-12 14:00:00,643.0,24.5,5,35.55881902443106,0.0,100.0,2025-11-12
2025-11-12 15:00:00,592.0,24.5,25,33.59062479495976,0.06921387447171544,87.5355684180901,2025-11-12
2025-11-12 16:00:00,443.0,23.7,61,29.958929927896772,0.18670845657792234,60.07454372594749,2025-11-12
2025-11-12 17:00:00,313.0,22.5,0,26.118611965643616,0.06456095094965558,31.847173640173093,2025-11-12
2025-11-12 18:00:00,140.0,21.2,4,22.29299076866647,0.16079636362660796,8.348249876835647,2025-11-12
2025-11-12 19:00:00,10.0,19.9,0,20.04206779511883,10.38116614498042,0.4282463487297692,2025-11-12
2025-11-12 20:00:00,0.0,19.1,12,19.1,0.06844234955689674,-0.047,2025-11-12
2025-11-12 21:00:00,0.0,18.7,40,18.7,0.05248989465884677,-0.047,2025-11-12
2025-11-12 22:00:00,0.0,17.9,39,17.9,0.2579658861126191,-0.047,2025-11-12
2025-11-12 23:00:00,0.0,17.5,77,17.5,0.19321903907971863,-0.047,2025-11-12
